xkcd_color,xkcd_color_hex,xkcd_r,xkcd_g,xkcd_b,design_color,design_color_hex,design_r,design_g,design_b,common_color,common_color_hex,common_r,common_g,common_b,color_family,color_type,color_or_neutral
dark orange,#c65102,198,81,2,burnt orange,#c85005,200,80,5,pumpkin spice,#c85005,200,80,5,orange,dark color,color
dark pastel green,#56ae57,86,174,87,leafy green,#44a944,68,169,68,primary green,#39a332,57,163,50,green,saturated color,color
dark peach,#de7e5d,222,126,93,faded peach,#de7e5d,222,126,93,dark peach,#de7e5d,222,126,93,red orange,muted color,color
dark periwinkle,#665fd1,102,95,209,iris,#675bcc,103,91,204,bright purple,#5636c4,86,54,196,blue violet,saturated color,color
dark pink,#cb416b,203,65,107,lipstick,#d24374,210,67,116,pink carnation,#ed52aa,237,82,170,violet red,tinted color,color
dark plum,#3f012c,63,1,44,eggplant,#35043c,53,4,60,dark purple,#390346,57,3,70,purple,dark color,color
dark purple,#35063e,53,6,62,dark purple,#41035f,65,3,95,dark purple,#390346,57,3,70,purple,dark color,color
dark red,#840000,132,0,0,brick,#99120f,153,18,15,brick red,#930e0d,147,14,13,red,dark color,color
dark rose,#b5485d,181,72,93,dusty red,#b6455f,182,69,95,dusty red,#b6455f,182,69,95,violet red,muted color,color
dark royal blue,#02066f,2,6,111,cobalt,#040870,4,8,112,navy,#031656,3,22,86,blue,dark neutral,neutral
dark sage,#598556,89,133,86,dark sage,#5f8961,95,137,97,sage green,#759e6d,117,158,109,blue green,muted color,color
dark salmon,#c85a53,200,90,83,terra cotta,#c64e4a,198,78,74,faded red,#c96364,201,99,100,orange red,muted color,color
dark sand,#a88f59,168,143,89,medium khaki,#ae9367,174,147,103,mocha,#aa8556,170,133,86,khaki,medium neutral,neutral
dark sea green,#11875d,17,135,93,primary green,#1aa248,26,162,72,primary green,#39a332,57,163,50,green,saturated color,color
dark seafoam,#1fb57a,31,181,122,tinted green,#1ebb85,30,187,133,mint green,#52ec9c,82,236,156,blue green,tinted color,color
dark seafoam green,#3eaf76,62,175,118,emerald green,#3da474,61,164,116,aquatic green,#3da474,61,164,116,green,saturated color,color
dark sky blue,#448ee4,68,142,228,faded blue,#4d84c3,77,132,195,indigo blue,#5a82a8,90,130,168,blue,muted color,color
dark slate blue,#214761,33,71,97,dark petrol,#385f81,56,95,129,dark petrol,#385f81,56,95,129,violet blue,dark color,color
dark tan,#af884a,175,136,74,warm khaki,#ab824c,171,130,76,mocha,#aa8556,170,133,86,khaki,medium neutral,neutral
dark taupe,#7f684e,127,104,78,mocha,#846f52,132,111,82,light brown,#816131,129,97,49,brown,medium neutral,neutral
dark teal,#014d4e,1,77,78,dark malachite,#01575b,1,87,91,dark blue green,#056563,5,101,99,blue green,dark color,color
dark turquoise,#045c5a,4,92,90,dark malachite,#01575b,1,87,91,dark blue green,#056563,5,101,99,blue green,dark color,color
dark violet,#34013f,52,1,63,eggplant,#35043c,53,4,60,dark purple,#390346,57,3,70,purple,dark color,color
dark yellow,#d5b60a,213,182,10,primary yellow,#d1b90b,209,185,11,soft yellow,#f5e667,245,230,103,yellow,tinted color,color
dark yellow green,#728f02,114,143,2,icky green,#86a51e,134,165,30,avocado,#86a51e,134,165,30,green yellow,dark color,color
darkblue,#030764,3,7,100,cobalt,#040870,4,8,112,navy,#031656,3,22,86,blue,dark neutral,neutral
darkgreen,#054907,5,73,7,hunter green,#06400a,6,64,10,hunter green,#06400a,6,64,10,blue green,dark color,color
darkish blue,#014182,1,65,130,indigo,#033c72,3,60,114,navy,#031656,3,22,86,blue,dark neutral,neutral
darkish green,#287c37,40,124,55,spruce,#187632,24,118,50,primary green,#39a332,57,163,50,green,saturated color,color
darkish pink,#da467d,218,70,125,lipstick,#d24374,210,67,116,pink carnation,#ed52aa,237,82,170,violet red,tinted color,color
darkish purple,#751973,117,25,115,dark grape,#691662,105,22,98,primary purple,#8724cd,135,36,205,purple,saturated color,color
darkish red,#a90308,169,3,8,brick,#99120f,153,18,15,brick red,#930e0d,147,14,13,red,dark color,color
deep aqua,#08787f,8,120,127,ocean teal,#037e90,3,126,144,ocean teal,#037e90,3,126,144,green blue,muted color,color
deep blue,#040273,4,2,115,cobalt,#040870,4,8,112,navy,#031656,3,22,86,blue,dark neutral,neutral
deep brown,#410200,65,2,0,dark burgundy,#440102,68,1,2,maroon,#62152f,98,21,47,red violet,dark color,color
deep green,#02590f,2,89,15,deep green,#1b5715,27,87,21,dark green,#1b5715,27,87,21,green,dark color,color
deep lavender,#8d5eb7,141,94,183,sangria,#895393,137,83,147,medium lavender,#8a5891,138,88,145,purple,muted color,color
deep lilac,#966ebd,150,110,189,wisteria,#9f75bf,159,117,191,muted purple,#8c588e,140,88,142,red violet,muted color,color
deep magenta,#a0025c,160,2,92,dark fuchsia,#9c025c,156,2,92,wine,#980f60,152,15,96,red violet,saturated color,color
deep orange,#dc4d01,220,77,1,burnt orange,#c85005,200,80,5,pumpkin spice,#c85005,200,80,5,orange,dark color,color
deep pink,#cb0162,203,1,98,ruby slipper,#ca0154,202,1,84,ruby slipper,#ca0154,202,1,84,violet red,saturated color,color
deep purple,#36013f,54,1,63,eggplant,#35043c,53,4,60,dark purple,#390346,57,3,70,purple,dark color,color
deep red,#9a0200,154,2,0,varsity red,#89070b,137,7,11,brick red,#930e0d,147,14,13,red,dark color,color
deep rose,#c74767,199,71,103,dusty red,#b6455f,182,69,95,dusty red,#b6455f,182,69,95,violet red,muted color,color
deep sea blue,#015482,1,84,130,dark turquoise,#015482,1,84,130,dark aqua,#156588,21,101,136,green blue,dark color,color
deep sky blue,#0d75f8,13,117,248,painter tape blue,#156af7,21,106,247,cobalt blue,#1235df,18,53,223,blue,saturated color,color
deep teal,#00555a,0,85,90,dark malachite,#01575b,1,87,91,dark blue green,#056563,5,101,99,blue green,dark color,color
deep turquoise,#017374,1,115,116,peacock green,#027272,2,114,114,dark blue green,#056563,5,101,99,blue green,dark color,color
deep violet,#490648,73,6,72,eggplant,#35043c,53,4,60,dark purple,#390346,57,3,70,purple,dark color,color
denim,#3b638c,59,99,140,dark petrol,#385f81,56,95,129,dark petrol,#385f81,56,95,129,violet blue,dark color,color
denim blue,#3b5b92,59,91,146,dull blue,#43669b,67,102,155,french blue,#43669b,67,102,155,violet blue,muted color,color
desert,#ccad60,204,173,96,light mustard,#c9a55d,201,165,93,light mustard,#c9a55d,201,165,93,yellow,muted color,color
diarrhea,#9f8303,159,131,3,dark mustard,#b8950c,184,149,12,mustard,#b8950c,184,149,12,orange yellow,dark color,color
dirt,#8a6e45,138,110,69,cocoa,#896d32,137,109,50,light brown,#816131,129,97,49,brown,medium neutral,neutral
dirt brown,#836539,131,101,57,cocoa,#896d32,137,109,50,light brown,#816131,129,97,49,brown,medium neutral,neutral
dirty blue,#3f829d,63,130,157,ocean blue,#187095,24,112,149,dark aqua,#156588,21,101,136,green blue,dark color,color
dirty green,#667e2c,102,126,44,leafy green,#44a944,68,169,68,primary green,#39a332,57,163,50,green,saturated color,color
dirty orange,#c87606,200,118,6,pumpkin spice,#c5700b,197,112,11,dark mustard,#c5700b,197,112,11,yellow orange,dark color,color
dirty pink,#ca7b80,202,123,128,conch shell pink,#cf828a,207,130,138,faded red,#c96364,201,99,100,orange red,muted color,color
dirty purple,#734a65,115,74,101,faded purple,#734a65,115,74,101,muted purple,#8c588e,140,88,142,red violet,muted color,color
dirty yellow,#cdc50a,205,197,10,chartreuse,#b6a306,182,163,6,chartreuse,#b6a306,182,163,6,green yellow,muted color,color
dodger blue,#3e82fc,62,130,252,faded blue,#4d84c3,77,132,195,indigo blue,#5a82a8,90,130,168,blue,muted color,color
drab,#828344,130,131,68,medium army green,#6f7a39,111,122,57,olive,#7e854f,126,133,79,olive,medium neutral,neutral
drab green,#749551,116,149,81,grey green,#75955d,117,149,93,olive,#7e854f,126,133,79,olive,medium neutral,neutral
dried blood,#4b0101,75,1,1,dark burgundy,#440102,68,1,2,maroon,#62152f,98,21,47,red violet,dark color,color
duck egg blue,#c3fbf4,195,251,244,pale aqua,#c9fefb,201,254,251,light aqua,#b6fbf6,182,251,246,green blue,pastel,color
dull blue,#49759c,73,117,156,dull blue,#43669b,67,102,155,french blue,#43669b,67,102,155,violet blue,muted color,color
dull brown,#876e4b,135,110,75,mocha,#846f52,132,111,82,light brown,#816131,129,97,49,brown,medium neutral,neutral
dull green,#74a662,116,166,98,granny smith apple,#74ae74,116,174,116,soft green,#8ddd79,141,221,121,green,tinted color,color
dull orange,#d8863b,216,134,59,whiskey,#e88940,232,137,64,whiskey,#e88940,232,137,64,yellow orange,muted color,color
dull pink,#d5869d,213,134,157,dull pink,#d5869d,213,134,157,muted magenta,#e458d3,228,88,211,red violet,tinted color,color
dull purple,#84597e,132,89,126,dark amethyst,#8b618e,139,97,142,medium lavender,#8a5891,138,88,145,purple,muted color,color
dull red,#bb3f3f,187,63,63,terra cotta,#c64e4a,198,78,74,faded red,#c96364,201,99,100,orange red,muted color,color
dull teal,#5f9e8f,95,158,143,petrol,#5e9a8b,94,154,139,muted teal,#64938d,100,147,141,green blue,muted color,color
dull yellow,#eedc5b,238,220,91,sunshine,#fae23a,250,226,58,gen z yellow,#fbf132,251,241,50,yellow,saturated color,color
dusk,#4e5481,78,84,129,dusk,#4e5286,78,82,134,dusk purple,#4e5286,78,82,134,blue violet,dark color,color
dusk blue,#26538d,38,83,141,indigo bright blue,#2a568a,42,86,138,indigo blue,#5a82a8,90,130,168,blue,muted color,color
dusky blue,#475f94,71,95,148,dull blue,#43669b,67,102,155,french blue,#43669b,67,102,155,violet blue,muted color,color
dusky pink,#cc7a8b,204,122,139,dusty rose,#c47581,196,117,129,mauve,#c7717f,199,113,127,red,make-up color,color
dusky purple,#895b7b,137,91,123,sangria,#895393,137,83,147,medium lavender,#8a5891,138,88,145,purple,muted color,color
dusky rose,#ba6873,186,104,115,dusty rose,#c47581,196,117,129,mauve,#c7717f,199,113,127,red,make-up color,color
dust,#b2996e,178,153,110,medium khaki,#ae9367,174,147,103,mocha,#aa8556,170,133,86,khaki,medium neutral,neutral
dusty blue,#5a86ad,90,134,173,faded blue,#4d84c3,77,132,195,indigo blue,#5a82a8,90,130,168,blue,muted color,color
dusty green,#76a973,118,169,115,granny smith apple,#74ae74,116,174,116,soft green,#8ddd79,141,221,121,green,tinted color,color
dusty lavender,#ac86a8,172,134,168,dusty lavender,#a885aa,168,133,170,dusty lavender,#a885aa,168,133,170,red violet,muted color,color
dusty orange,#f0833a,240,131,58,whiskey,#e88940,232,137,64,whiskey,#e88940,232,137,64,yellow orange,muted color,color
dusty pink,#d58a94,213,138,148,conch shell pink,#cf828a,207,130,138,faded red,#c96364,201,99,100,orange red,muted color,color
dusty purple,#825f87,130,95,135,dark amethyst,#8b618e,139,97,142,medium lavender,#8a5891,138,88,145,purple,muted color,color
dusty red,#b9484e,185,72,78,faded red,#cd4c4c,205,76,76,washed red,#c13c39,193,60,57,red,muted color,color
dusty rose,#c0737a,192,115,122,dusty rose,#c47581,196,117,129,mauve,#c7717f,199,113,127,red,make-up color,color
dusty teal,#4c9085,76,144,133,petrol,#5e9a8b,94,154,139,muted teal,#64938d,100,147,141,green blue,muted color,color
earth,#a2653e,162,101,62,cognac leather,#a66a36,166,106,54,sienna,#a25e15,162,94,21,sienna,painterly neutral,neutral
easter green,#8cfd7e,140,253,126,hospital green,#9bf78d,155,247,141,soft green,#8ddd79,141,221,121,green,tinted color,color
easter purple,#c071fe,192,113,254,violet grape,#b262f4,178,98,244,grape,#ae62e3,174,98,227,purple,tinted color,color
ecru,#feffca,254,255,202,neon pale yellow,#feffcf,254,255,207,neon yellow,#f6f489,246,244,137,yellow,neon color,color
egg shell,#fffcc4,255,252,196,butter yellow,#f7f2ad,247,242,173,butter yellow,#f7f2ad,247,242,173,yellow,pastel,color
eggplant,#380835,56,8,53,eggplant,#35043c,53,4,60,dark purple,#390346,57,3,70,purple,dark color,color
eggplant purple,#430541,67,5,65,eggplant,#35043c,53,4,60,dark purple,#390346,57,3,70,purple,dark color,color
eggshell,#ffffd4,255,255,212,neon pale yellow,#feffcf,254,255,207,neon yellow,#f6f489,246,244,137,yellow,neon color,color
eggshell blue,#c4fff7,196,255,247,pale aqua,#c9fefb,201,254,251,light aqua,#b6fbf6,182,251,246,green blue,pastel,color
electric blue,#0652ff,6,82,255,painter tape blue,#156af7,21,106,247,cobalt blue,#1235df,18,53,223,blue,saturated color,color
electric green,#21fc0d,33,252,13,neon green,#53f72c,83,247,44,neon green,#53f72c,83,247,44,green,neon color,color
electric lime,#a8ff04,168,255,4,acid green,#a6fc02,166,252,2,neon lime,#c1f529,193,245,41,green yellow,neon color,color
electric pink,#ff0490,255,4,144,hot pink,#fe0298,254,2,152,hot pink,#fd039f,253,3,159,violet red,neon color,color
electric purple,#aa23ff,170,35,255,ultraviolet,#9613df,150,19,223,primary purple,#8724cd,135,36,205,purple,saturated color,color
emerald,#01a049,1,160,73,irish green,#109438,16,148,56,primary green,#39a332,57,163,50,green,saturated color,color
emerald green,#028f1e,2,143,30,irish green,#109438,16,148,56,primary green,#39a332,57,163,50,green,saturated color,color
evergreen,#05472a,5,71,42,hunter green,#06400a,6,64,10,hunter green,#06400a,6,64,10,blue green,dark color,color
faded blue,#658cbb,101,140,187,faded blue,#4d84c3,77,132,195,indigo blue,#5a82a8,90,130,168,blue,muted color,color
faded green,#7bb274,123,178,116,granny smith apple,#74ae74,116,174,116,soft green,#8ddd79,141,221,121,green,tinted color,color
faded orange,#f0944d,240,148,77,whiskey,#e88940,232,137,64,whiskey,#e88940,232,137,64,yellow orange,muted color,color
faded pink,#de9dac,222,157,172,moody pink,#d58998,213,137,152,moody pink,#d58998,213,137,152,violet red,pastel,color
faded purple,#916e99,145,110,153,washed purple,#8c6f95,140,111,149,faded grape,#8c6f95,140,111,149,blue violet,muted color,color
faded red,#d3494e,211,73,78,faded red,#cd4c4c,205,76,76,washed red,#c13c39,193,60,57,red,muted color,color
faded yellow,#feff7f,254,255,127,canary yellow,#fefe6f,254,254,111,soft yellow,#f5e667,245,230,103,yellow,tinted color,color
fawn,#cfaf7b,207,175,123,camel,#bfa26a,191,162,106,khaki,#c8ac7f,200,172,127,khaki,light neutral,neutral
fern,#63a950,99,169,80,fern green,#659c40,101,156,64,stem green,#659c40,101,156,64,yellow green,tinted color,color
fern green,#548d44,84,141,68,fern green,#659c40,101,156,64,stem green,#659c40,101,156,64,yellow green,tinted color,color
fire engine red,#fe0002,254,0,2,tomato red,#fa0116,250,1,22,primary red,#da0128,218,1,40,red,saturated color,color
flat blue,#3c73a8,60,115,168,faded blue,#4d84c3,77,132,195,indigo blue,#5a82a8,90,130,168,blue,muted color,color
flat green,#699d4c,105,157,76,fern green,#659c40,101,156,64,stem green,#659c40,101,156,64,yellow green,tinted color,color
fluorescent green,#08ff08,8,255,8,neon green,#53f72c,83,247,44,neon green,#53f72c,83,247,44,green,neon color,color
fluro green,#0aff02,10,255,2,neon green,#53f72c,83,247,44,neon green,#53f72c,83,247,44,green,neon color,color
foam green,#90fda9,144,253,169,seafoam,#7dfbac,125,251,172,mint green,#52ec9c,82,236,156,blue green,tinted color,color
forest,#0b5509,11,85,9,deep green,#1b5715,27,87,21,dark green,#1b5715,27,87,21,green,dark color,color
forest green,#06470c,6,71,12,hunter green,#06400a,6,64,10,hunter green,#06400a,6,64,10,blue green,dark color,color
forrest green,#154406,21,68,6,hunter green,#06400a,6,64,10,hunter green,#06400a,6,64,10,blue green,dark color,color
french blue,#436bad,67,107,173,dull blue,#43669b,67,102,155,french blue,#43669b,67,102,155,violet blue,muted color,color
fresh green,#69d84f,105,216,79,apple green,#6fd03b,111,208,59,primary green,#39a332,57,163,50,green,saturated color,color
frog green,#58bc08,88,188,8,frog green,#5fb118,95,177,24,primary green,#39a332,57,163,50,green,saturated color,color
fuchsia,#ed0dd9,237,13,217,faded magenta,#ee42e2,238,66,226,muted magenta,#e458d3,228,88,211,red violet,tinted color,color
gold,#dbb40c,219,180,12,primary yellow,#d1b90b,209,185,11,soft yellow,#f5e667,245,230,103,yellow,tinted color,color
golden,#f5bf03,245,191,3,goldenrod,#fbc20a,251,194,10,dandelion,#fbc20a,251,194,10,orange yellow,saturated color,color
golden brown,#b27a01,178,122,1,whiskey brown,#a47204,164,114,4,yellow ochre,#a47204,164,114,4,yellow ochre,painterly neutral,neutral
golden rod,#f9bc08,249,188,8,mac and cheese,#f9b311,249,179,17,golden yellow,#f9b311,249,179,17,yellow orange,saturated color,color
golden yellow,#fec615,254,198,21,goldenrod,#fbc20a,251,194,10,dandelion,#fbc20a,251,194,10,orange yellow,saturated color,color
goldenrod,#fac205,250,194,5,goldenrod,#fbc20a,251,194,10,dandelion,#fbc20a,251,194,10,orange yellow,saturated color,color
grape,#6c3461,108,52,97,sangria,#895393,137,83,147,medium lavender,#8a5891,138,88,145,purple,muted color,color
grape purple,#5d1451,93,20,81,dark grape,#691662,105,22,98,primary purple,#8724cd,135,36,205,purple,saturated color,color
grapefruit,#fd5956,253,89,86,sunset coral,#fd5c58,253,92,88,coral,#fc8279,252,130,121,orange red,tinted color,color
grass,#5cac2d,92,172,45,frog green,#5fb118,95,177,24,primary green,#39a332,57,163,50,green,saturated color,color
grass green,#3f9b0b,63,155,11,grass green,#449e07,68,158,7,primary green,#39a332,57,163,50,green,saturated color,color
grassy green,#419c03,65,156,3,grass green,#449e07,68,158,7,primary green,#39a332,57,163,50,green,saturated color,color
green,#15b01a,21,176,26,primary green,#1aa248,26,162,72,primary green,#39a332,57,163,50,green,saturated color,color
green apple,#5edc1f,94,220,31,neon green,#53f72c,83,247,44,neon green,#53f72c,83,247,44,green,neon color,color
green blue,#06b48b,6,180,139,tinted green,#1ebb85,30,187,133,mint green,#52ec9c,82,236,156,blue green,tinted color,color
green brown,#544e03,84,78,3,dark olive,#4c4d10,76,77,16,camouflage green,#565e11,86,94,17,olive,dark neutral,neutral
green grey,#77926f,119,146,111,grey green,#75955d,117,149,93,olive,#7e854f,126,133,79,olive,medium neutral,neutral
green teal,#0cb577,12,181,119,oz green,#23a76d,35,167,109,tree green,#20b069,32,176,105,blue green,saturated color,color
green yellow,#c9ff27,201,255,39,neon lime yellow,#c5f622,197,246,34,neon lime,#c1f529,193,245,41,green yellow,neon color,color
green/blue,#01c08d,1,192,141,mountain meadow,#21b991,33,185,145,bright teal,#18ad89,24,173,137,blue green,saturated color,color
green/yellow,#b5ce08,181,206,8,slime green,#9bc20e,155,194,14,lime green,#9abf11,154,191,17,yellow green,tinted color,color
greenblue,#23c48b,35,196,139,tinted green,#1ebb85,30,187,133,mint green,#52ec9c,82,236,156,blue green,tinted color,color
greenish,#40a368,64,163,104,primary green,#1aa248,26,162,72,primary green,#39a332,57,163,50,green,saturated color,color
greenish beige,#c9d179,201,209,121,neon lemon lime,#d7e18d,215,225,141,neon lime,#c1f529,193,245,41,green yellow,neon color,color
greenish blue,#0b8b87,11,139,135,teal,#148f8a,20,143,138,peacock blue,#179e95,23,158,149,green blue,saturated color,color
greenish brown,#696112,105,97,18,brown olive,#69600c,105,96,12,swamp green,#6f7410,111,116,16,yellow green,dark color,color
greenish cyan,#2afeb7,42,254,183,aqua fresh,#15f4bd,21,244,189,light mint,#15f4bd,21,244,189,green blue,tinted color,color
greenish grey,#96ae8d,150,174,141,celadon,#88a581,136,165,129,celadon,#88a581,136,165,129,green,muted color,color
greenish tan,#bccb7a,188,203,122,aloe,#b8da8e,184,218,142,aloe,#b8da8e,184,218,142,green,pastel,color
greenish teal,#32bf84,50,191,132,tinted green,#1ebb85,30,187,133,mint green,#52ec9c,82,236,156,blue green,tinted color,color
greenish turquoise,#00fbb0,0,251,176,aqua fresh,#15f4bd,21,244,189,light mint,#15f4bd,21,244,189,green blue,tinted color,color
greenish yellow,#cdfd02,205,253,2,neon lime yellow,#c5f622,197,246,34,neon lime,#c1f529,193,245,41,green yellow,neon color,color
greeny blue,#42b395,66,179,149,mountain meadow,#21b991,33,185,145,bright teal,#18ad89,24,173,137,blue green,saturated color,color
greeny brown,#696006,105,96,6,brown olive,#69600c,105,96,12,swamp green,#6f7410,111,116,16,yellow green,dark color,color
greeny grey,#7ea07a,126,160,122,celadon,#88a581,136,165,129,celadon,#88a581,136,165,129,green,muted color,color
greeny yellow,#c6f808,198,248,8,neon lime yellow,#c5f622,197,246,34,neon lime,#c1f529,193,245,41,green yellow,neon color,color
grey,#929591,146,149,145,medium grey,#8e908d,142,144,141,medium grey,#848b8d,132,139,141,grey,medium neutral,neutral
grey blue,#6b8ba4,107,139,164,medium indigo blue,#60809a,96,128,154,indigo blue,#5a82a8,90,130,168,blue,muted color,color
grey brown,#7f7053,127,112,83,drab olive,#827458,130,116,88,olive,#7e854f,126,133,79,olive,medium neutral,neutral
grey green,#789b73,120,155,115,asparagus,#6fa460,111,164,96,asparagus,#6fa460,111,164,96,yellow green,saturated color,color
grey pink,#c3909b,195,144,155,mauve,#c08e96,192,142,150,faded maroon,#c08e96,192,142,150,violet red,make-up color,color
grey purple,#826d8c,130,109,140,amethyst,#856e8c,133,110,140,purple grey,#856e8c,133,110,140,blue violet,muted color,color
grey teal,#5e9b8a,94,155,138,petrol,#5e9a8b,94,154,139,muted teal,#64938d,100,147,141,green blue,muted color,color
grey/blue,#647d8e,100,125,142,medium indigo blue,#60809a,96,128,154,indigo blue,#5a82a8,90,130,168,blue,muted color,color
grey/green,#86a17d,134,161,125,celadon,#88a581,136,165,129,celadon,#88a581,136,165,129,green,muted color,color
greyblue,#77a1b5,119,161,181,grey blue,#7ea2b3,126,162,179,indigo blue,#5a82a8,90,130,168,blue,muted color,color
greyish,#a8a495,168,164,149,light grey,#c1c3bb,193,195,187,light grey,#c1c3bb,193,195,187,grey,light neutral,neutral
greyish blue,#5e819d,94,129,157,medium indigo blue,#60809a,96,128,154,indigo blue,#5a82a8,90,130,168,blue,muted color,color
greyish brown,#7a6a4f,122,106,79,drab olive,#827458,130,116,88,olive,#7e854f,126,133,79,olive,medium neutral,neutral
greyish green,#82a67d,130,166,125,granny smith apple,#74ae74,116,174,116,soft green,#8ddd79,141,221,121,green,tinted color,color
greyish pink,#c88d94,200,141,148,mauve,#c08e96,192,142,150,faded maroon,#c08e96,192,142,150,violet red,make-up color,color
