xkcd_color,xkcd_color_hex,xkcd_r,xkcd_g,xkcd_b,design_color,design_color_hex,design_r,design_g,design_b,common_color,common_color_hex,common_r,common_g,common_b,color_family,color_type,color_or_neutral
moss green,#658b38,101,139,56,fern green,#659c40,101,156,64,stem green,#659c40,101,156,64,yellow green,tinted color,color
mossy green,#638b27,99,139,39,fern green,#659c40,101,156,64,stem green,#659c40,101,156,64,yellow green,tinted color,color
mud,#735c12,115,92,18,mud,#776108,119,97,8,brown,#633a0b,99,58,11,brown,dark neutral,neutral
mud brown,#60460f,96,70,15,dark olive,#4c4d10,76,77,16,camouflage green,#565e11,86,94,17,olive,dark neutral,neutral
mud green,#606602,96,102,2,dark olive,#4c4d10,76,77,16,camouflage green,#565e11,86,94,17,olive,dark neutral,neutral
muddy brown,#886806,136,104,6,whiskey brown,#a47204,164,114,4,yellow ochre,#a47204,164,114,4,yellow ochre,painterly neutral,neutral
muddy green,#657432,101,116,50,medium army green,#6f7a39,111,122,57,olive,#7e854f,126,133,79,olive,medium neutral,neutral
muddy yellow,#bfac05,191,172,5,chartreuse,#b6a306,182,163,6,chartreuse,#b6a306,182,163,6,green yellow,muted color,color
mulberry,#920a4e,146,10,78,malbec,#90074b,144,7,75,wine,#980f60,152,15,96,red violet,saturated color,color
murky green,#6c7a0e,108,122,14,camo,#75842e,117,132,46,swamp green,#6f7410,111,116,16,yellow green,dark color,color
mushroom,#ba9e88,186,158,136,mushroom khaki,#ba9e88,186,158,136,khaki,#c8ac7f,200,172,127,khaki,light neutral,neutral
mustard,#ceb301,206,179,1,dark mustard,#b8950c,184,149,12,mustard,#b8950c,184,149,12,orange yellow,dark color,color
mustard brown,#ac7e04,172,126,4,dark mustard,#b8950c,184,149,12,mustard,#b8950c,184,149,12,orange yellow,dark color,color
mustard green,#a8b504,168,181,4,bright olive,#afbd07,175,189,7,warm olive,#a4b90c,164,185,12,yellow green,saturated color,color
mustard yellow,#d2bd0a,210,189,10,primary yellow,#d1b90b,209,185,11,soft yellow,#f5e667,245,230,103,yellow,tinted color,color
muted blue,#3b719f,59,113,159,dark indigo blue,#3b6b93,59,107,147,indigo blue,#5a82a8,90,130,168,blue,muted color,color
muted green,#5fa052,95,160,82,fern green,#659c40,101,156,64,stem green,#659c40,101,156,64,yellow green,tinted color,color
muted pink,#d1768f,209,118,143,blush,#d67489,214,116,137,mauve,#c7717f,199,113,127,red,make-up color,color
muted purple,#805b87,128,91,135,washed amethyst,#805b87,128,91,135,muted purple,#8c588e,140,88,142,red violet,muted color,color
nasty green,#70b23f,112,178,63,frog green,#5fb118,95,177,24,primary green,#39a332,57,163,50,green,saturated color,color
navy,#01153e,1,21,62,navy,#040937,4,9,55,navy,#031656,3,22,86,blue,dark neutral,neutral
navy blue,#001146,0,17,70,navy,#040937,4,9,55,navy,#031656,3,22,86,blue,dark neutral,neutral
navy green,#35530a,53,83,10,deep green,#1b5715,27,87,21,dark green,#1b5715,27,87,21,green,dark color,color
neon blue,#04d9ff,4,217,255,neon blue,#03d2fe,3,210,254,neon blue,#03d2fe,3,210,254,blue,neon color,color
neon green,#0cff0c,12,255,12,neon green,#53f72c,83,247,44,neon green,#53f72c,83,247,44,green,neon color,color
neon pink,#fe019a,254,1,154,hot pink,#fe0298,254,2,152,hot pink,#fd039f,253,3,159,violet red,neon color,color
neon purple,#bc13fe,188,19,254,neon purple,#bc13fe,188,19,254,neon purple,#bc13fe,188,19,254,purple,neon color,color
neon red,#ff073a,255,7,58,neon red,#ff073a,255,7,58,neon red,#ff073a,255,7,58,red,neon color,color
neon yellow,#cfff04,207,255,4,neon lime yellow,#c5f622,197,246,34,neon lime,#c1f529,193,245,41,green yellow,neon color,color
nice blue,#107ab0,16,122,176,soft blue,#2d6ebd,45,110,189,bright blue,#2078c7,32,120,199,blue,tinted color,color
night blue,#040348,4,3,72,navy,#040937,4,9,55,navy,#031656,3,22,86,blue,dark neutral,neutral
ocean,#017b92,1,123,146,ocean teal,#037e90,3,126,144,ocean teal,#037e90,3,126,144,green blue,muted color,color
ocean blue,#03719c,3,113,156,ocean blue,#187095,24,112,149,dark aqua,#156588,21,101,136,green blue,dark color,color
ocean green,#3d9973,61,153,115,emerald green,#3da474,61,164,116,aquatic green,#3da474,61,164,116,green,saturated color,color
ocher,#bf9b0c,191,155,12,dark mustard,#b8950c,184,149,12,mustard,#b8950c,184,149,12,orange yellow,dark color,color
ochre,#bf9005,191,144,5,dark mustard,#b8950c,184,149,12,mustard,#b8950c,184,149,12,orange yellow,dark color,color
ocre,#c69c04,198,156,4,dark mustard,#b8950c,184,149,12,mustard,#b8950c,184,149,12,orange yellow,dark color,color
off blue,#5684ae,86,132,174,faded blue,#4d84c3,77,132,195,indigo blue,#5a82a8,90,130,168,blue,muted color,color
off green,#6ba353,107,163,83,fern green,#659c40,101,156,64,stem green,#659c40,101,156,64,yellow green,tinted color,color
off white,#ffffe4,255,255,228,butter yellow,#f7f2ad,247,242,173,butter yellow,#f7f2ad,247,242,173,yellow,pastel,color
off yellow,#f1f33f,241,243,63,gen z yellow,#fcfc2c,252,252,44,gen z yellow,#fbf132,251,241,50,yellow,saturated color,color
old pink,#c77986,199,121,134,dusty rose,#c47581,196,117,129,mauve,#c7717f,199,113,127,red,make-up color,color
old rose,#c87f89,200,127,137,dusty rose,#c47581,196,117,129,mauve,#c7717f,199,113,127,red,make-up color,color
olive,#6e750e,110,117,14,yellow olive,#727e04,114,126,4,swamp green,#6f7410,111,116,16,yellow green,dark color,color
olive brown,#645403,100,84,3,mud,#776108,119,97,8,brown,#633a0b,99,58,11,brown,dark neutral,neutral
olive drab,#6f7632,111,118,50,medium army green,#6f7a39,111,122,57,olive,#7e854f,126,133,79,olive,medium neutral,neutral
olive green,#677a04,103,122,4,army green,#6a7d14,106,125,20,camouflage green,#565e11,86,94,17,olive,dark neutral,neutral
olive yellow,#c2b709,194,183,9,chartreuse,#b6a306,182,163,6,chartreuse,#b6a306,182,163,6,green yellow,muted color,color
orange,#f97306,249,115,6,orange,#fa7806,250,120,6,blood orange,#fc6504,252,101,4,orange,saturated color,color
orange brown,#be6400,190,100,0,copper,#b55f07,181,95,7,sienna,#a25e15,162,94,21,sienna,painterly neutral,neutral
orange pink,#ff6f52,255,111,82,melon,#ff7351,255,115,81,melon,#fe7f4e,254,127,78,red orange,tinted color,color
orange red,#fd411e,253,65,30,safety orange,#f73d13,247,61,19,rorange,#f12c11,241,44,17,orange red,saturated color,color
orange yellow,#ffad01,255,173,1,mac and cheese,#f9b311,249,179,17,golden yellow,#f9b311,249,179,17,yellow orange,saturated color,color
orangeish,#fd8d49,253,141,73,tangelo,#fd8c4b,253,140,75,melon,#fe7f4e,254,127,78,red orange,tinted color,color
